brand_id;campanhas_criadas_email;campanhas_criadas_sms;campanhas_criadas_agenda;base_impactada_email;base_impactada_sms;base_impactada_agenda;lojas_ativas;lojas_onboarding;retorno_gatilhos;retorno_campanhas;retorno_cashback;retorno_telemarketing;retorno_total
91;;;;;;;1;;;;1645.55;3278.07;4923.62
92;;;13;;;;248;;;;;2215765.26;2215765.26
100;;;;;;;3;5;;;;;
106;;;1;;;;9;;2407.60;;128472.63;71501.21;202381.44
543;;;;;;;1;;;;;;
550;;1;;;6368;;2;;;223008.16;;13773.37;236781.53
557;;;3;;;;11;;;;;142630.87;142630.87
560;;;12;11217;;;6;;3500.73;3782.80;3045.12;49782.09;60110.74
562;;;2;;;;8;;;;;50085.26;50085.26
563;;1;;;4931;;1;;4038.11;8124.10;1898.44;5345.99;19406.64
564;;;;;;;1;;;;;;
570;;;1;;;;5;;4238.72;;7575.23;8670.28;20484.23
571;;;2;;;;1;;;;11545.59;149094.04;160639.63
573;;;6;;;;3;;;;15388.58;28029.08;43417.66
575;;;15;;;;30;;;;336922.78;183675.89;520598.67
583;;;6;;;;13;;;;;218368.29;218368.29
584;11;;26;3862;;;5;;;284008.09;;318074.05;602082.14
590;;;;;;;5;;;;;24202.45;24202.45
591;;1;4;;3526;;4;;;12277.21;;21202.34;33479.55
592;;;;;;;1;;;;;2700.98;2700.98
599;;;2;;;;6;;;;5436.22;6449.40;11885.62
600;;1;;;7460;;8;;2683.75;4162.25;;31448.67;38294.67
602;;1;8;;3689;;4;;;71779.64;;48907.37;120687.01
604;;;11;;;;15;;;;;1107686.58;1107686.58
606;;;;;;;1;;;;;1400.00;1400.00
609;;;;;;;1;;;;;;
612;;;;;;;;4;;;;;
613;;;;;;;1;;;;;;
614;;;1;;;;11;;;;;187050.31;187050.31
616;;;;;;;;;;;777.68;;777.68
623;;;3;;;;2;;;;;12811.04;12811.04
625;;;;;;;3;;;;;;
626;;;5;;;;26;;;;;537485.87;537485.87
627;;3;8;;431;;48;;;13839.26;;454573.10;468412.36
631;;;;;;;;20;;;;;
633;1;3;1;10762;39776;;12;;;14013.66;;32022.09;46035.75
634;13;88;13;304765;82297;;28;;;3965821.88;;392456.76;4358278.64
637;;;6;;;;12;;15129.66;;;303625.86;318755.52
638;;;;;;;3;;;315187.32;;585927.83;901115.15
639;;2;3;;5530;;3;;;83177.21;;364097.50;447274.71
640;;;;;;;1;;;;;;
642;;;;;;;1;;;;;;
643;;;1;;;;3;;;12133.73;;60143.05;72276.78
645;8;;19;10348;;;5;;;220118.25;35581.02;650345.00;906044.27
647;;;3;;;;6;;;;;73014.77;73014.77
648;;;3;;;;9;;;;;241993.10;241993.10
650;;1;5;;;;2;;;;;23270.20;23270.20
651;;;1;;;;6;;;;;87815.49;87815.49
652;;;14;;;;11;;;;;496029.56;496029.56
653;;2;4;;1612;;2;;;173047.50;44909.56;164361.57;382318.63
654;;7;1;;10892;;4;;;75833.15;;34600.95;110434.10
657;;;14;;;;2;;;;18747.55;39936.76;58684.31
661;5;;;21472;;;12;1;;76290.06;;1627.50;77917.56
