brand_id;ano_mes;campanhas_ativas;campanhas_criadas_email;campanhas_criadas_sms;campanhas_criadas_agenda;base_impactada_total;base_impactada_email;base_impactada_sms;base_impactada_agenda;lojas_ativas;lojas_onboarding;clientes_totais;clientes_email_valido;clientes_celular_valido;clientes_aniversario_valido;total_vendas;total_vendas_associadas;retorno_gatilhos;retorno_campanhas;retorno_cashback;retorno_telemarketing;retorno_total
91;2025-09;57;;;;;;;;1;;8557;2044;7970;8011;163;150;;;1645.55;3278.07;4923.62
92;2025-09;333;;;13;;;;;248;;2395363;1564932;2062495;1565011;142594;125093;;;;2215765.26;2215765.26
100;2025-09;10;;;;;;;;3;5;2908;145;2652;2880;762;115;;;;;
106;2025-09;111;;;1;;;;;9;;1129548;405309;304849;396712;7451;4558;2407.60;;128472.63;71501.21;202381.44
543;2025-09;25;;;;;;;;1;;11751;8;11319;11719;432;430;;;;;
550;2025-09;40;;1;;6368;;6368;;2;;15064;3062;9384;15047;2240;1831;;223008.16;;13773.37;236781.53
557;2025-09;157;;;3;;;;;11;;177566;8092;133725;128563;3005;2863;;;;142630.87;142630.87
560;2025-09;237;;;12;11217;11217;;;6;;144900;93887;135940;129596;2850;1931;3500.73;3782.80;3045.12;49782.09;60110.74
562;2025-09;95;;;2;;;;;8;;42742;7788;37520;37581;1548;1227;;;;50085.26;50085.26
563;2025-09;191;;1;;4931;;4931;;1;;14619;5129;12841;13468;289;281;4038.11;8124.10;1898.44;5345.99;19406.64
564;2025-09;16;;;;;;;;1;;3044;98;2761;2578;;;;;;;
570;2025-09;36;;;1;;;;;5;;15265;8497;14790;15123;1158;1114;4238.72;;7575.23;8670.28;20484.23
571;2025-09;51;;;2;;;;;1;;7197;34;3823;4847;300;290;;;11545.59;149094.04;160639.63
573;2025-09;56;;;6;;;;;3;;54624;7837;31424;54303;2196;2023;;;15388.58;28029.08;43417.66
575;2025-09;309;;;15;;;;;30;;171440;3181;105804;85557;57263;20066;;;336922.78;183675.89;520598.67
583;2025-09;125;;;6;;;;;13;;137301;13287;109362;120999;6961;6773;;;;218368.29;218368.29
584;2025-09;788;11;;26;3862;3862;;;5;;19997;10219;10763;5067;1061;834;;284008.09;;318074.05;602082.14
590;2025-09;8;;;;;;;;5;;358706;2187;273817;348851;2945;2501;;;;24202.45;24202.45
591;2025-09;183;;1;4;3526;;3526;;4;;23978;18528;20097;3400;1541;1541;;12277.21;;21202.34;33479.55
592;2025-09;6;;;;;;;;1;;6945;276;6022;6940;191;178;;;;2700.98;2700.98
599;2025-09;58;;;2;;;;;6;;30645;12786;24220;18816;693;407;;;5436.22;6449.40;11885.62
600;2025-09;32;;1;;7460;;7460;;8;;78728;52456;72502;70219;2108;1299;2683.75;4162.25;;31448.67;38294.67
602;2025-09;51;;1;8;3689;;3689;;4;;78141;21885;47365;75139;756;645;;71779.64;;48907.37;120687.01
604;2025-09;281;;;11;;;;;15;;204856;22964;139806;131519;3962;3824;;;;1107686.58;1107686.58
606;2025-09;41;;;;;;;;1;;20574;1859;14796;8731;184;161;;;;1400.00;1400.00
609;2025-09;1;;;;;;;;1;;8695;4910;7145;2352;438;416;;;;;
612;2025-09;;;;;;;;;;4;46247;;32188;;;;;;;;
613;2025-09;8;;;;;;;;1;;1206;319;914;1205;;;;;;;
614;2025-09;148;;;1;;;;;11;;316283;110670;248839;235930;3403;3132;;;;187050.31;187050.31
616;2025-09;;;;;;;;;;;5626;105;3053;2993;3822;172;;;777.68;;777.68
623;2025-09;28;;;3;;;;;2;;6285;646;1962;4;316;203;;;;12811.04;12811.04
625;2025-09;14;;;;;;;;3;;125279;25796;66848;18994;1015;822;;;;;
626;2025-09;232;;;5;;;;;26;;753662;181200;640128;597785;22137;18210;;;;537485.87;537485.87
627;2025-09;580;;3;8;431;;431;;48;;190382;118286;177981;169991;6077;6031;;13839.26;;454573.10;468412.36
631;2025-09;;;;;;;;;;20;134774;68919;101157;76604;;;;;;;
633;2025-09;387;1;3;1;50423;10762;39776;;12;;298480;21435;255089;197739;4562;3299;;14013.66;;32022.09;46035.75
634;2025-09;1740;13;88;13;353378;304765;82297;;28;;771277;513999;471868;610404;14058;13486;;3965821.88;;392456.76;4358278.64
637;2025-09;90;;;6;;;;;12;;321362;75762;258249;268352;10492;9564;15129.66;;;303625.86;318755.52
638;2025-09;184;;;;;;;;3;;18700;735;15046;18700;7767;6688;;315187.32;;585927.83;901115.15
639;2025-09;80;;2;3;5530;;5530;;3;;87160;39329;81079;81058;3825;3569;;83177.21;;364097.50;447274.71
640;2025-09;10;;;;;;;;1;;1018;727;927;987;;;;;;;
642;2025-09;611;;;;;;;;1;;1289178;950564;1141899;894576;;;;;;;
643;2025-09;51;;;1;;;;;3;;89790;1040;24550;57793;3104;3066;;12133.73;;60143.05;72276.78
645;2025-09;418;8;;19;10348;10348;;;5;;58426;28299;35477;49804;2175;2169;;220118.25;35581.02;650345.00;906044.27
647;2025-09;96;;;3;;;;;6;;37597;19572;31443;22226;747;719;;;;73014.77;73014.77
648;2025-09;121;;;3;;;;;9;;528609;245243;183774;323364;2942;2627;;;;241993.10;241993.10
650;2025-09;261;;1;5;;;;;2;;29731;12324;9220;15489;199;192;;;;23270.20;23270.20
651;2025-09;23;;;1;;;;;6;;63472;25017;54178;16075;2886;2880;;;;87815.49;87815.49
652;2025-09;427;;;14;;;;;11;;209814;7861;159531;207707;21304;21258;;;;496029.56;496029.56
653;2025-09;63;;2;4;1612;;1612;;2;;5523;644;2092;3560;853;843;;173047.50;44909.56;164361.57;382318.63
654;2025-09;382;;7;1;10892;;10892;;4;;37980;25684;30240;22787;469;417;;75833.15;;34600.95;110434.10
657;2025-09;246;;;14;;;;;2;;11453;51;10617;10555;2149;1386;;;18747.55;39936.76;58684.31
661;2025-09;570;5;;;21472;21472;;;12;1;87875;54979;67074;46721;2369;2226;;76290.06;;1627.50;77917.56
